Name,AAA_C3,AAA_C6,Agrifood (Coles) C6,ALS_C6,Coles,FreshTest_C6,NMI (2017),PEST06,PEST08,PEST08_C6
Pirimiphos-methyl,X,X,X,X,X,X,X,X,X,X
Pretilachlor,,,,,,,,,X,
Prochloraz,X,X,X,X,X,X,X,,X,X
Procymidone,X,X,X,X,X,X,X,X,X,X
Profenofos,X,X,X,X,X,X,X,X,X,X
Promecarb,,,,,,,,,X,
Prometryn,,,,,,,,,X,
Propachlor,,,,,X,,X,,X,
Propamocarb,,,,,,,X,,X,
Propanil,,,,,,,,,X,
Propaphos,,,,,,,,,X,
Propaquizafop,,,,,,,,,X,
Propargite,X,X,X,X,X,X,X,X,X,X
Propazine,,,,,,,,,X,
Propetamphos,,,,,,,,,X,
Propham,,,,,,,,,X,
Propiconazole,X,X,X,X,X,X,X,X,X,X
Propoxur,,,,,,,,,X,
Propyzamide,,,,,,,X,,X,
Proquinazid,,,,,,,,,X,
Prosulfocarb,,,,X,X,,,,X,
Prothiofos,X,X,X,X,X,X,X,X,X,X
Pymetrozine,,X,,X,X,X,X,X,X,X
Pyraclofos,,,,,,,,,X,
Pyraclostrobin,,X,,X,X,X,X,X,X,X
Pyraflufen-ethyl,,,,,,,,,X,
Pyrasulfotole,,,,X,X,,,,X,
Pyrazophos,,,,,,,,,X,
Pyrethrins,X,X,X,,X,X,X,X,X,X
Pyributicarb,,,,,,,,,X,
Pyridaben,,,,,X,,,,X,
Pyridaphenthion,,,,,,,,,X,
Pyrifenox,,,,,,,,,X,
Pyriftalid,,,,,,,,,X,
Pyrimethanil,X,X,X,X,X,X,X,X,X,X
Pyrimidifen,,,,,,,,,X,
Pyriproxyfen,,,X,X,X,X,X,X,X,X
Pyroquilon,,,,,,,,,X,
Pyroxsulam,,,,,,,,,X,
Quiazlofop,,,,,X,,,,,
Quinalphos,,,,,,,,,X,
Quinoclamine,,,,,,,,,X,
Quinoxyfen,,,,,,,,,X,
Quintozene,X,X,X,X,X,X,X,X,X,X
Quizalofop-ethyl,,,,,,,,,X,
Rimsulfuron,,,,,,,,,X,
Rotenone,,,,,X,,,,,
Saflufenacil,,,,,,,,,X,
Sebuthylazine,,,,,,,,,X,
Sethoxydim,,,,,,,,,X,
Simazine,,,X,X,X,,X,,X,X
Simeconazole,,,,,,,,,X,
Simetryn,,,,,,,,,X,
Spinetoram,,X,,X,X,,X,,X,X
Spinetoram-A,,,,,,X,,,,
Spinetoram-B,,,,,,X,,,,
Spinosad,,X,,X,X,,X,X,X,X
Spinosad-A,,,,,,X,,,,
Spinosad-B,,,,,,X,,,,
Spiromesifen,,,,,,,,,X,
Spiromesifen enol,,,,,,,,,X,
Spirotetramat,,X,,X,X,X,X,X,X,X
Spirotetramat-keto-hydroxy,,,,,,,,,X,X
Spirotetramat-mono-hydroxy,,,,,,,,,X,X
Spirotetramat enol,,,,,,,,,X,X
Spirotetramat enol-glucoside,,,,,,,,,X,X
Spiroxamine,,,,,,,,,X,
Sulfentrazone,,,,,,,,,X,
Sulprofos,,,,,,,,,X,
Tebuconazole,X,X,X,X,X,X,X,X,X,X
Tebufenozide,,X,,X,X,X,X,X,X,X
Tebufenpyrad,X,X,X,X,X,X,X,X,X,X
Tebuthiuron,,,,,,,,,X,
Tecnazene,,,,,,,,,X,
Teflubenzuron,,,,,,,,,X,
Tefluthrin,,,,,,,,,X,
Temephos,,,,,,,X,,X,
Tepraloxydim,,,,,,,,,X,
Terbacil,,,,,,,,,X,
Terbufos,X,X,X,X,X,X,X,X,X,X
Terbumeton,,,,,,,,,X,
Terbuthylazine,,,,,,,,,X,
Terbutryn,,,,,,,,,X,
Tetrachlorvinphos,,,,,,,,,X,
Tetraconazole,,,,,X,,,,X,
Tetradifon,X,X,X,X,X,X,X,X,X,X
Tetrahydrophthalimide,,,,,,,,,X,
Thenylchlor,,,,,,,,,X,
Thiabendazole,,X,,X,X,X,X,X,X,X
Thiacloprid,,X,,X,X,X,X,X,X,X
Thiamethoxam,,X,,X,X,X,X,X,X,X
Thiazopyr,,,,,,,,,X,
Thidiazuron,,,,,,,,,X,
