Name,AAA_C3,AAA_C6,ALS_C6,Coles,FreshTest_C6,FSANZ_MRL,Indonesia,NMI (2017),PEST06,PEST08,PEST08_C6,Vietnam,Vietnam_(sub)
Fenthion sulfone,X,X,,,X,,,,,X,X,,
Fenthion sulfoxide,X,X,,,X,,,,,X,X,,
Fenthion Total,X,X,,,,,,,,,,,
Fenthion-oxon,,,,,,,,,,X,X,,
Fenthion-oxon sulfone,,,,,,,,,,X,X,,
Fenthion-oxon sulfoxide,,,,,,,,,,X,X,,
Fentin,,,,,,X,,,,,,,
Fentrazamide,,,,,,,,,,X,,,
Fenvalarate,,,,,,,,X,,,,,
Fenvalerate,X,X,X,X,,X,X,,X,X,X,,
Fenvelarate,,,,,X,,,,,,,,
Ferimzone,,,,,,,,,,X,,,
Fipronil,X,X,X,X,X,X,X,X,X,X,X,,
Fipronil sulfide,,,,,,,,,,X,X,,
Fipronil sulfone,,,,,,,,,,X,X,,
Fipronil sulphenyl,,,,,X,,,,,,,,
Fipronil sulphone,,,,,X,,,,,,,,
Fipronil trifluoromethyl,,,,,X,,,,,,,,
Flamprop,,,,,,,,,,X,,,
Flamprop-M-methyl,,,,,,X,,,,,,,
Flamprop-methyl,,,,,,X,,,,X,,,
Flavophospholipol,,,,,,X,,,,,,,
Flazasulfuron,,,,,,,,,,X,,,
Flonicamid,,,,,,X,,,,,,,
Florasulam,,,,,,X,,,,,,,
Florfenicol,,,,,,X,,,,,,,
Fluacrypyrim,,,,,,,,,,X,,,
Fluazifop-p-butyl,,,,,,X,,,,,,,
Fluazifop-P-butyl,,,,,,,,,,X,,,
Fluazinam,,,,,,X,,,,X,,,
Fluazuron,,,,,,X,,,,,,,
Flubendamide,,X,,,,,,,,,,,
Flubendamide ,,,,,X,,,,,,,,
Flubendazole,,,,,,,,,,X,,,
Flubendiamide,,,X,X,,X,,X,,X,X,,
Flucythrinate,,,,,,X,,,,X,,,
Fludioxinil,X,X,,,,,,,,,,,
Fludioxonil,,,X,X,X,X,,X,X,X,X,,
Fluensulfone,,,,,,X,,,,,,,
Flufenacet,,,,,,,,,,X,,,
Flumethrin,,,,,,X,,,,,,,
Flumetsulam,,,,,,X,,,,,,,
Flumiclorac pentyl,,,,,,X,,,,,,,
Flumiclorac-pentyl,,,,,,,,,,X,,,
Flumioxazin,,,,,,X,,,,X,,,
Flunixin,,,,,,X,,,,,,,
Fluometuron,,,,X,,X,,,,X,,,
Fluopicolide,,,,,,X,,,,X,,,
Fluopyram,,,,,,X,,,,X,,,
Fluoxastrobin,,,,,,X,,,,,,,
Flupropanate,,,,,,X,,,,,,,
Flupyradifurone,,,,,,X,,,,,,,
Fluquinconazole,,,,,,X,,,,X,,,
Fluridone,,,,,,,,,,X,,,
Fluroxypyr,,,,,,X,,,,,,,
Flusilazole,X,X,X,X,X,X,X,X,X,X,X,,
Fluthiacet-methyl,,,,,,,,,,X,,,
Flutolanil,,,,,,X,X,,,X,,,
Flutriafol,,,,,,X,,,,X,,,
Fluvalinate,X,X,X,X,X,X,,X,,X,X,,
Fluvalinate-tau,,,,,X,,,,,,,,
Fluxapyroxad,,,,,,X,,,,,,,
Folpet,,,,,,X,,,,X,,,
Fonofos,,,,,,,,,,X,,,
Forchlorfenuron,,,,,,X,,,,X,,,
Formetanate hydrochloride,,,,,,,,,,X,,,
Formothion,,,,,,,,X,,,,,
Fosetyl,,,,,,X,,,,,,,
Fosetyl-aluminium,,,,,,X,,,,,,,
Fosthiazate,,,,,,,,,,X,,,
Fuberidazole,,,,,,,,,,X,,,
Furalaxyl,,,,,,,,,,X,,,
Furametpyr,,,,,,,,,,X,,,
Furathiocarb,,,,,,X,,,,X,,,
gamma-HCH,,,,,,,,,,X,X,,
Glufosinate,,,,X,,,,,,,,,
Glufosinate ammonium,,,,,,,X,,,,,,
Glufosinate and Glufosinate-ammonium,,,,,,X,,,,,,,
Glyphosate,,,,X,,X,,,,,,,
Guazatine,,,,,,X,,,,,,,
Halauxifen-methyl,,,,,,X,,,,,,,
Halofuginone,,,,,,X,,,,,,,
Halosulfuron-methyl,,,,,,X,,,,X,,,
Haloxyfop,,,,X,,X,X,,,,,,
Haloxyfop-etotyl,,,,,,,,,,X,,,
Haloxyfop-methyl,,,,,,,,,,X,,,
HCB,,,,X,X,,,X,,,,,
HCH-alpha,,,,,,,,,,,,X,
HCH-beta,,,,,,,,,,,,X,
HCH-delta,,,,,,,,,,,,X,
HCH-gamma (Lindane),,,,,,,X,,,,,X,
Heptachlor,,,X,X,X,,X,X,X,X,X,X,
Heptachlor endo-epoxide,,,,,,,,,,X,X,,
Heptachlor epoxide,,,X,X,,,,,,,,,
Heptachlor Epoxide,,,,,X,,,X,,,,,
Heptachlor exo-epoxide,,,,,,,,,,X,X,,
Heptenophos,,,,,,,,,,X,,,
Hexachlorobenzene,,,,,,,,,X,X,X,X,
Hexachlorobenzene (HCB),X,X,X,,,,,,,,,,
Hexaconazole,X,X,X,X,X,X,,X,X,X,X,,
Hexaflumuron,,,,,,,,,,X,,,
Hexazinone,,,,,,X,,,,X,,,
Hexythiazox,X,X,X,X,X,X,X,X,X,X,X,,
hlorpropham,,,,,,X,,,,,,,
Hydrogen phosphide,,,,,,X,,,,,,,
ichlobenil,,,,,,X,,,,,,,
Imazalil,X,X,X,X,X,X,X,X,X,X,X,,
Imazamethabenz-methyl,,,,,,,,,,X,,,
Imazamox,,,,,,X,,,,,,,
Imazapic,,,,,,X,,,,,,,
Imazapyr,,,,,,X,,,,,,,
Imazethapyr,,,,,,X,,,,,,,
Imazosulfuron,,,,,,,,,,X,,,
Imidacloprid,,X,X,X,X,X,X,X,,X,X,,X
Imidacloprid olefin,,,,,,,,,,X,X,,
Imidocarb (dipropionate salt),,,,,,X,,,,,,,
Inabenfide,,,,,,,,,,X,,,
Indanofan,,,,,,,,,,X,,,
Indoxacarb,,,X,X,X,X,,X,X,X,X,,
Inorganic bromide,,,,,,X,,,,,,,
Iodfenphos,,,,,,,,,,X,,,
Iodosulfuron methyl,,,,,,X,,,,,,,
Iodosulfuron-methyl,,,,,,,,,,X,,,
Ion Bromida,,,,,,,X,,,,,,
Ioxynil,,,,,,X,,,,,,,
Ipconazole,,,,,,X,,,,,,,
Iprobenfos,,,,,,,,,,X,,,
Iprodione,X,X,X,X,X,X,X,X,X,X,X,,
Iprovalicarb,,,,,,,,,,X,,,
Isazofos,,,,,,,,,,X,,,
Isoeugenol,,,,,,X,,,,,,,
Isofenphos,,,,,,,,,,X,,,
Isofenphos-methyl,,,,,,,,,,X,,,
Isoprocarb,,,,,,,X,,,X,,,
Isoprothiolane,,,,,,,,,,X,,,
Isoproturon,,,,,,,,,,X,,,
Isopyrazam,,,,,,,,,,X,,,
Isoxaben,,,,X,,X,,X,,,,,
Isoxaflutole,,,,,,X,,,,,,,
Isoxathion,,,,,,,,,,X,,,
Ivermectin,,,,,,X,,,,,,,X
Karbutilate,,,,,,,,,,X,,,
Keto-Endrin,,,,,X,,,,,,,,
Ketoprofen,,,,,,X,,,,,,,
Kitasamycin,,,,,,X,,,,,,,
Kresoxim - methyl,,,X,,,,,,,,,,
Kresoxim methyl,X,X,,X,X,,,X,,,,,
Kresoxim-methyl,,,,,,X,X,,X,X,X,,
Lactofen,,,,,,,,,,X,,,
lambda Cyhalothrin,,,,X,,,,,,,,,
Lambda-cyhalothrin,,,,,,X,,,,,,,
Lasalocid,,,,,,X,,,,,,,
Lenacil,,,,,,,,,,X,,,
Leptophos,,,,,,,,,,X,,,
Levamisole,,,,,,X,,,,,,,
Lincomycin,,,,,,X,,,,,,,
Lindane,,,,X,,X,,X,X,,,,
Linuron,X,X,X,X,X,X,,X,X,X,X,,
Lufenuron,,,,,,X,,,,X,,,
Maduramicin,,,,,,X,,,,,,,
Magnesium phosphide,,,,,,X,,,,,,,
Malathion,,,X,X,X,X,X,X,X,X,X,X,X
Malathion (Maldison),X,X,,,,,,,,,,,
Maldison,,,,,,X,,,,,,,
Maleic hydrazide,,,,,,X,X,,,,,,
Mancozeb,,,,,,X,,,,,,,
Mandestrobin,,,,,,X,,,,,,,
Mandipropamid,,,,,,X,,X,,X,,,
