"","Name","CAS","PEST08","PEST08_C6","Proposed_C6","PEST06","PEST00","PEST07"
"431","Pirimicarb-Desmethyl","30614-22-3","","","","","",""
"432","Pirimiphos methyl","29232-93-7 ","","","","","",""
"433","Pirimiphos-methyl","","X","X","X","X","X",""
"434","Pretilachlor","","X","","","","",""
"435","Prochloraz","67747-09-5","X","X","X","","",""
"436","Prochloraz Metabolite","139542-32-8","","","","","",""
"437","Procymidone","32809-16-8","X","X","X","X","X",""
"438","Profenofos","41198-08-7 ","X","X","X","X","",""
"439","Promecarb","","X","","","","",""
"440","Prometryn","","X","","","","",""
"441","Propachlor","","X","","","","",""
"442","Propamocarb","","X","","","","",""
"443","Propanil","","X","","","","",""
"444","Propaphos","","X","","","","",""
"445","Propaquizafop","","X","","","","",""
"446","Propargite","2312-35-8","X","X","X","X","",""
"447","Propazine","","X","","","","",""
"448","Propetamphos","","X","","","","",""
"449","Propham","","X","","","","",""
"450","Propiconazole","60207-90-1","X","X","X","X","",""
"451","Propoxur","","X","","","","",""
"452","Propyzamide","","X","","","","",""
"453","Proquinazid","","X","","","","",""
"454","Prosulfocarb","","X","","","","",""
"455","Prothiofos","34643-46-4","X","X","X","X","",""
"456","Prothiophos","","","","","","X",""
"457","Pymetrozin","123312-89-0","","","","","",""
"458","Pymetrozine","","X","X","X","X","",""
"459","Pyraclofos","","X","","","","",""
"460","Pyraclostrobin","175013-18-0","X","X","X","X","",""
"461","Pyraflufen-ethyl","","X","","","","",""
"462","Pyrasulfotole","","X","","","","",""
"463","Pyrazophos","","X","","","","",""
"464","Pyrethrin","8003-34-7 ","","","","","",""
"465","Pyrethrins","","X","X","X","X","",""
"466","Pyributicarb","","X","","","","",""
"467","Pyridaben","","X","","","","",""
"468","Pyridaphenthion","","X","","","","",""
"469","Pyrifenox","","X","","","","",""
"470","Pyriftalid","","X","","","","",""
"471","Pyrimethanil","53112-28-0","X","X","X","X","",""
"472","Pyrimidifen","","X","","","","",""
"473","Pyriproxyfen","95737-68-1 ","X","X","X","X","",""
"474","Pyroquilon","","X","","","","",""
"475","Pyroxsulam","","X","","","","",""
"476","Quinalphos","","X","","","","",""
"477","Quinoclamine","","X","","","","",""
"478","Quinoxyfen","","X","","","","",""
"479","Quintozene","","X","X","X","X","",""
"480","Quintozine","82-68-8","","","","","",""
"481","Quizalofop-ethyl","","X","","","","",""
"482","Rimsulfuron","","X","","","","",""
"483","Saflufenacil","","X","","","","",""
"484","Sebuthylazine","","X","","","","",""
"485","Sethoxydim","","X","","","","",""
"486","Simazine","122-34-9","X","X","X","","",""
"487","Simeconazole","","X","","","","",""
"488","Simetryn","","X","","","","",""
"489","Spinetoram","187166-40-1","X","X","X","","",""
"490","Spinosad","168316-95-8","X","X","X","X","",""
"491","Spiromesifen","","X","","","","",""
"492","Spiromesifen enol","","X","","","","",""
"493","Spirotetramat","203313-25-1","X","X","X","X","",""
"494","Spirotetramat enol","203312-38-3","X","X","","","",""
"495","Spirotetramat enol-glucoside","","X","X","","","",""
"496","Spirotetramat-keto-hydroxy","","X","X","","","",""
"497","Spirotetramat-mono-hydroxy","","X","X","","","",""
"498","Spiroxamine","","X","","","","",""
"499","Sulfentrazone","","X","","","","",""
"500","Sulprofos","","X","","","","",""
"501","Tebuconazole","107534-96-3","X","X","X","X","",""
"502","Tebufenozide","112410-23-8","X","X","X","X","",""
"503","Tebufenpyrad","119168-77-3","X","X","X","X","X",""
"504","Tebuthiuron","","X","","","","",""
"505","Tecnazene","","X","","","","",""
"506","Teflubenzuron","","X","","","","",""
"507","Tefluthrin","","X","","","","",""
"508","Temephos","","X","","","","",""
"509","Tepraloxydim","","X","","","","",""
"510","Terbacil","","X","","","","",""
"511","Terbufos","13071-79-9","X","X","X","X","",""
"512","Terbufos Oxon","56070-14-5","","","","","",""
"513","Terbufos Oxon Sulfone","56070-15-6","","","","","",""
"514","Terbufos Oxon Sulfonxide","56165-57-2","","","","","",""
"515","Terbufos-Sulfone","56070-16-7","","","","","",""
"516","Terbufos-Sulfoxide","10548-10-4","","","","","",""
"517","Terbumeton","","X","","","","",""
"518","Terbuthylazine","","X","","","","",""
"519","Terbutryn","","X","","","","",""
"520","Tetrachlorvinphos","","X","","","","",""
"521","Tetraconazole","","X","","","","",""
"522","Tetradifon","116-29-0","X","X","X","X","",""
"523","Tetrahydrophthalimide","","X","","","","",""
"524","Thenylchlor","","X","","","","",""
"525","Thiabendazole","148-79-8","X","X","X","X","",""
"526","Thiacloprid","111988-49-9","X","X","X","X","",""
"527","Thiamethoxam","153719-23-4","X","X","X","X","",""
"528","Thiazopyr","","X","","","","",""
"529","Thidiazuron","","X","","","","",""
"530","Thiobencarb","","X","","","","",""
"531","Thiocyclam hydrogen oxalate","","X","","","","",""
"532","Thiometon","","X","","","","",""
"533","THP","1469-48-3","","","","","",""
"534","Tiadinil","","X","","","","",""
"535","Tolclofos-methyl","","X","X","X","","",""
"536","Tolclophos-methyl","57018-04-9","","","","","",""
"537","Tolylfluanid","","X","","","","",""
"538","Total DDD","","","","","","X",""
"539","Total DDE","","","","","","X",""
"540","Total DDT","","","","","","X",""
"541","Tralkoxydim","","X","","","","",""
"542","trans-Chlorfenvinphos","","","","","","X",""
"543","Transfluthrin","","X","","","","",""
"544","Tri-allate","","X","","","","",""
"545","Triadimefon","43121-43-3 ","X","X","X","X","X",""
"546","Triadimenol","55219-65-3","X","X","X","X","",""
