Name,Indonesia,PEST06,PEST08,PEST08_C6,Vietnam,Vietnam_(sub)
Propoxur,,,X,,,
Propyzamide,,,X,,,
Proquinazid,,,X,,,
Prosulfocarb,,,X,,,
Prothiofos,,X,X,X,,
Pymetrozin,,,X,X,,
Pymetrozine,,X,,,,
Pyraclofos,,,X,,,
Pyraclostrobin,,X,X,X,,X
Pyraflufen-ethyl,,,X,,,
Pyrasulfotole,,,X,,,
Pyrazophos,,,X,,,
Pyrethrins,X,X,X,X,,
Pyributicarb,,,X,,,
Pyridaben,,,X,,,
Pyridaphenthion,,,X,,,
Pyrifenox,,,X,,,
Pyriftalid,,,X,,,
Pyrimethanil,X,X,X,X,,
Pyrimidifen,,,X,,,
Pyriproxyfen,X,X,X,X,,
Pyroquilon,,,X,,,
Pyroxsulam,,,X,,,
Quinalphos,,,X,,X,
Quinoclamine,,,X,,,
Quinoxyfen,X,,X,,,
Quintozene,X,X,X,X,,
Quizalofop-ethyl,,,X,,,
Rimsulfuron,,,X,,,
Saflufenacil,,,X,,,
Sebuthylazine,,,X,,,
Sethoxydim,,,X,,,
Silafluofen,,,,,,X
Simazine,,,X,X,,
Simeconazole,,,X,,,
Simetryn,,,X,,,
Spinetoram,,,X,X,,
Spinosad,,X,X,X,,
Spiromesifen,,,X,,,
Spiromesifen enol,,,X,,,
Spirotetramat,,X,X,X,,
Spirotetramat enol,,,X,X,,
Spirotetramat enol-glucoside,,,X,X,,
Spirotetramat-keto-hydroxy,,,X,X,,
Spirotetramat-mono-hydroxy,,,X,X,,
Spiroxamine,,,X,,,
Sulfentrazone,,,X,,,
Sulprofos,,,X,,,
Tebuconazole,X,X,X,X,X,X
Tebufenozide,X,X,X,X,,
Tebufenpyrad,,X,X,X,,
Tebuthiuron,,,X,,,
Tecnazene,X,,X,,,
Teflubenzuron,X,,X,,,
Tefluthrin,,,X,,,
Temephos,,,X,,,
Tepraloxydim,,,X,,,
Terbacil,,,X,,,
Terbufos,,X,X,X,,X
Terbumeton,,,X,,,
Terbuthylazine,,,X,,,
Terbutryn,,,X,,,
Tetrachlorvinphos,,,X,,,
Tetraconazole,,,X,,,
Tetradifon,,X,X,X,,
Tetrahydrophthalimide,,,X,,,
Thenylchlor,,,X,,,
Thiabendazole,X,X,X,X,,
Thiacloprid,X,X,X,X,,
Thiamethoxam,,X,X,X,,X
Thiazopyr,,,X,,,
Thidiazuron,,,X,,,
Thiobencarb,,,X,,,
Thiocyclam hydrogen oxalate,,,X,,,
Thiometon,,,X,,,
Thiophanate,,,,,,X
Tiadinil,,,X,,,
Tolclofos-methyl,X,,X,X,,
Tolylfluanid,X,,X,,,
Tralkoxydim,,,X,,,
Tralomethrin,,,,,,X
trans-Chlordane,,,X,X,,
Transfluthrin,,,X,,,
Tri-allate,,,X,,,
Triadimefon,,,X,X,,X
Triadimefon Total,,X,,,,
Triadimenol,,X,X,X,,X
Triasulfuron,,,X,,,
Triazophos,X,,X,,,
Tribenuron-methyl,,,X,,,
Tribufos,,,X,,,
Trichlorfon,,X,X,X,,
Tricyclazole,,,X,,,
Trifloxystrobin,,X,X,X,,
Trifloxysulfuron-sodium,,,X,,,
Triflumizole,,,X,,,
Triflumuron,,,X,,,
Trifluralin,,,X,,X,
Triflusulfuron-methyl,,,X,,,
Triforine,X,,X,,,
Triticonazole,,,X,,,
Uniconazole-P,,,X,,,
Vamidothion,,,X,X,,
Vinclozolin,X,X,X,X,,
XMC,,,X,,,
Zoxamide,X,,X,,,
